,category81,category36
0,1,Сувениры
1,2,Финансовые услуги
2,3,Финансовые услуги
3,4,Финансовые услуги
4,5,Финансовые услуги
5,6,Финансовые услуги
6,7,Развлечения
7,8,Дом/Ремонт
8,9,Автоуслуги
9,10,Финансовые услуги
10,11,Образование
11,12,Финансовые услуги
12,13,Образование
13,14,	Финансовые услуги
14,15,Образование
15,16,Финансовые услуги
16,17,Финансовые услуги
17,18,Финансовые услуги
18,19,Финансовые услуги
19,20,Отели
20,21,Авиабилеты
21,22,Турагентства
22,23,Турагентства
23,24,Авиабилеты
24,25,Госсборы
25,26,Связь/Телеком
26,27,Автоуслуги
27,28,Авиабилеты
28,29,Кино
29,30,Искусство
30,31,Музыка
31,32,Образование
32,33,Рестораны
33,34,Образование
34,35,Образование
35,36,Дом/Ремонт
36,37,Супермаркеты
37,38,Спорттовары
38,39,Искусство
39,40,Искусство
40,41,Авиабилеты
41,42,Сервисные услуги
42,43,Отели
43,44,Кино
44,45,Кино
45,46,Кино
46,47,Искусство
47,48,Фаст Фуд
48,49,Развлечения
49,50,Музыка
50,51,Рестораны
51,52,Книги
52,53,Образование
53,54,Связь/Телеком
54,55,Развлечения
55,56,Развлечения
56,57,Одежда/Обувь
57,58,Красота
58,59,Красота
59,60,Развлечения
60,61,Дом/Ремонт
61,62,Спорттовары
62,63,НКО
63,64,Авиабилеты
64,65,Финансовые услуги
65,66,Авиабилеты
66,67,Финансовые услуги
67,68,Финансовые услуги
68,69,Развлечения
69,70,Финансовые услуги
70,71,Финансовые услуги
71,72,НКО
72,73,Турагентства
73,74,Финансовые услуги
74,75,Транспорт
75,76,Финансовые услуги
76,77,Финансовые услуги
77,78,Развлечения
78,79,Развлечения
79,80,Развлечения
80,81,Развлечения
